address|lat|lon|state|district
Dhuswakala B.O|27.222295|83.377472|UTTAR PRADESH|KISHANGANJ
Chichauli B.O|26.03805|81.238115|UTTAR PRADESH|RAE BARELI
Dogahra B.O|27.144604|83.562174|UTTAR PRADESH|MAHRAJGANJ
Kaji Behta B.O|26.94|81.19|UTTAR PRADESH|BARA BANKI
Kakari B.O|26.94|81.19|UTTAR PRADESH|BARA BANKI
Dharsa B.O|22.692106|88.356817|WEST BENGAL|HAORA
Chilauli B.O|26.394744|81.203684|UTTAR PRADESH|RAE BARELI
Chilaula B.O|26.085115|80.956711|UTTAR PRADESH|RAE BARELI
Doma Khas B.O|27.144604|83.562174|UTTAR PRADESH|MAHRAJGANJ
Rakha Mines B.O|22.674521|86.354272|JHARKHAND|PURBI SINGHBHUM
Rakha Copper Project S.O|22.486676|86.499655|JHARKHAND|PURBI SINGHBHUM
Parasi B.O|24.795452|84.999431|BIHAR|MUNGER
Parariya B.O|24.438516|84.951836|BIHAR|MUNGER
Kasani B.O|28.346773|75.764766|RAJASTHAN|JHUNJHUNU
Hayatpur Rurki B.O|31.148534|76.222564|PUNJAB|SHAHID BHAGAT SINGH NAGAR
Ektarpur B.O|23.109229|88.394328|WEST BENGAL|HUGLI
Chettikulam B.O|8.484536|77.897461|TAMIL NADU|THOOTHUKKUDI
Padenga B.O|19.903492|80.491379|CHATTISGARH|KORIYA
Chettikurichi B.O|9.060589|77.747354|TAMIL NADU|THOOTHUKKUDI
Ram Chandra Pur B.O|22.486676|86.499655|JHARKHAND|PURBI SINGHBHUM
A.P.Colony S.O (Gaya)|24.782567|84.982404|BIHAR|MUNGER
Bali Hatkhola B.O|22.599654|88.360853|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Baliara B.O|21.638621|88.212031|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Goureddipally B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Kari B.O|27.903705|75.414807|RAJASTHAN|JHUNJHUNU
Asuragarh B.O|25.96144|87.848847|WEST BENGAL|UTTAR DINAJPUR
Munkhosla B.O|23.113345|74.197388|GUJARAT|DOHAD
Banasundaria B.O|22.135238|88.401604|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Othaka B.O|20.007511|86.171997|ODISHA|
Halakkarai B.O|11.398682|76.854801|TAMIL NADU|KRISHNAGIRI
Gorlakhan Doddi B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Chiluli B.O|26.414258|81.452618|UTTAR PRADESH|RAE BARELI
Parsawa B.O|24.795452|84.999431|BIHAR|MUNGER
Chidambaranagar S.O|8.79835|78.131755|TAMIL NADU|THOOTHUKKUDI
Dhulopur B.O|22.595769|88.263639|WEST BENGAL|HAORA
Dandesari B.O|27.786351|78.451749|UTTAR PRADESH|MATHURA
Markoot B.O|34.19905|74.34995|JAMMU & KASHMIR|BARAMULA
Banashyamnagar B.O|22.135238|88.401604|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Dhulasimla B.O|22.410429|88.086412|WEST BENGAL|HAORA
Kudgi S.O|16.527164|75.829427|KARNATAKA|BIJAPUR
Dhulagori B.O|22.582222|88.175833|WEST BENGAL|HAORA
Bamunia B.O|22.506735|88.631685|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Bamna B.O|22.216591|88.342148|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Parvhara B.O|24.795452|84.999431|BIHAR|MUNGER
Dhurkhali B.O|22.647691|88.000835|WEST BENGAL|HAORA
Majatri B.O|30.68333|76.598667|PUNJAB|CHANDIGARH
Dhunki B.O|22.546327|88.116935|WEST BENGAL|HAORA
JBSSK GADI S.O|18.989089|75.760078|MAHARASHTRA|BID
Jeba Pimpri B.O|18.695105|75.763313|MAHARASHTRA|BID
Gaul, Khurd B.O|20.388794|78.120407|MAHARASHTRA|YAVATMAL
Nisha B.O|20.919658|85.007753|ODISHA|ANUGUL
Christiankempai B.O|25.3478|93.017571|ASSAM|CACHAR
Kadodar B.O|20.955734|84.003522|ODISHA|SAMBALPUR
Baishata B.O|22.132882|88.467032|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Gurukunta B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Gumkhal B.O|29.892504|78.670087|UTTARAKHAND|GARHWAL
Bairagir Chak B.O|22.135238|88.401604|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Jawalgaon B.O|18.682853|76.491009|MAHARASHTRA|BID
Purada B.O|21.167241|80.421525|MAHARASHTRA|GONDIYA
Jawalban B.O|18.683904|76.189966|MAHARASHTRA|BID
Jatnandur B.O|18.952882|75.425732|MAHARASHTRA|BID
Panchanpur B.O|24.795452|84.999431|BIHAR|MUNGER
Dharmauli B.O|26.963285|83.653462|UTTAR PRADESH|KISHANGANJ
Baikunthapur B.O|22.378963|88.415546|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Gumain B.O|29.868768|78.838264|UTTARAKHAND|GARHWAL
Jategaon B.O|18.699503|75.567698|MAHARASHTRA|BID
Gurakonda B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Baidyahat B.O|22.641911|88.365421|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Koulagi B.O|16.830171|75.710031|KARNATAKA|BIJAPUR
Duadanda B.O|22.716374|87.787401|WEST BENGAL|HUGLI
Pandabigha B.O|24.431593|84.5923|BIHAR|MUNGER
Kotyal B.O|16.783257|75.491272|KARNATAKA|BIJAPUR
Mantrigam B.O|34.19905|74.34995|JAMMU & KASHMIR|BARAMULA
Cheolaha S.O|26.23|81.25|UTTAR PRADESH|RAE BARELI
Guntakodur B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Dhamsia B.O|22.595769|88.263639|WEST BENGAL|HAORA
Gunumukla B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Mohind B.O|33.583092|75.20232|JAMMU & KASHMIR|ANANTNAG
Sandra B.O|18.791667|80.816667|CHATTISGARH|BIJAPUR
Pandey Parasawan B.O|24.795452|84.999431|BIHAR|MUNGER
Korwar S.O|16.752089|76.212423|KARNATAKA|BIJAPUR
Gundmal B.O|16.41364|79.035029|TELANGANA|MAHBUBNAGAR
Gundur B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Nuapada B.O|21.145702|84.880682|ODISHA|ANUGUL
Nuahata B.O|20.830741|85.225664|ODISHA|ANUGUL
Rehtal B.O|33.383995|74.354349|JAMMU & KASHMIR|RAJOURI
Nuakheta B.O|20.648037|85.0701|ODISHA|ANUGUL
Gudendi B.O|29.868768|78.838264|UTTARAKHAND|GARHWAL
Nuagaon B.O|21.110225|84.72372|ODISHA|ANUGUL
Jigaon B.O|20.927778|76.388889|MAHARASHTRA|BULDANA
Gundlanarva B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Gundimalla B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Kalhabad B.O|24.47|85.6|JHARKHAND|KODARMA
Gundiyal B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Balarampur B.O|22.284899|88.320287|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Kasimpura B.O|28.221602|75.463603|RAJASTHAN|JHUNJHUNU
Kasimpur Khari B.O|29.046753|77.332443|UTTAR PRADESH|BAGHPAT
Manakpur Sharif B.O|30.849671|76.686027|PUNJAB|CHANDIGARH
Kaseru B.O|27.953458|75.259573|RAJASTHAN|JHUNJHUNU
Paraiya S.O|24.809481|84.850577|BIHAR|MUNGER
Chetra Bujurg B.O|26.34627|81.491055|UTTAR PRADESH|RAE BARELI
Gumkonda B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Balakhali B.O|22.359586|88.33972|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Sankanpalli B.O|18.675531|80.629898|CHATTISGARH|BIJAPUR
Odasha B.O|20.844403|85.151082|ODISHA|ANUGUL
Dumurdaha B.O|23.039912|88.432362|WEST BENGAL|HUGLI
Moti Zari B.O|22.773645|73.906588|GUJARAT|DOHAD
Bakultalahat B.O|22.149863|88.450684|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Bakultala B.O|22.484069|88.302248|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Palank B.O|19.813382|85.831465|ODISHA|
Bakrahat S.O|22.38907|88.208941|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Moti Khajuri B.O|22.701205|73.962433|GUJARAT|DOHAD
Kotra B.O|26.739637|77.487405|RAJASTHAN|DHAULPUR
Kotpura B.O|26.849126|77.97672|RAJASTHAN|DHAULPUR
Panidober B.O|20.27|81.49|CHATTISGARH|KABEERDHAM
Barijpur B.O|22.226457|88.287474|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Churua B.O|26.23|81.25|UTTAR PRADESH|RAE BARELI
Konnur B.O|16.524725|76.169317|KARNATAKA|BIJAPUR
Kalapathar B.O|20.902487|84.00881|ODISHA|SAMBALPUR
Bahar B.O|26.095345|88.09374|WEST BENGAL|UTTAR DINAJPUR
Baharail B.O|25.738573|88.28261|WEST BENGAL|UTTAR DINAJPUR
Jamgoan B.O|18.838855|75.125349|MAHARASHTRA|BID
Barhansfartabad B.O|22.463314|88.384263|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Rautara B.O|22.598784|86.593059|JHARKHAND|PURBI SINGHBHUM
Bahin B.O|25.617321|88.123012|WEST BENGAL|UTTAR DINAJPUR
Matla B.O|31.306052|76.6918|HIMACHAL PRADESH|BILASPUR
Gajinadaspur B.O|23.090999|88.350487|WEST BENGAL|HUGLI
